,site.latitude,site.longitude,iron.LCOE,iron.LCOH,state,rate
424,39.425,-89.52,54.51436717,6.970990054,IL,9.96
425,43.656,-82.65,53.72633052,7.20984052,MI,8.46
426,44.4,-89.291,57.13994869,7.064526195,WI,8.64
427,45.245,-85.279,56.20141787,7.004531403,MI,8.46
428,39.863,-90.623,61.06282191,7.785296826,IL,9.96
429,46.107,-97.017,54.14274384,7.488428671,ND,7.55
430,42.806,-84.196,54.89400855,7.441735075,MI,8.46
431,40.843,-95.045,47.69072754,6.1592397,IA,6.36
432,44.448,-97.296,47.4019081,6.467291502,SD,8.67
433,41.691,-72.115,65.52126647,9.409677136,CT,17.7
434,38.804,-88.876,56.12650933,7.67336165,IL,9.96
435,42.682,-76.639,65.85313251,11.23072689,NY,8.95
436,38.316,-85.843,69.57517263,10.26729387,IN,8.95
437,38.073,-92.857,60.78137874,8.58634471,MO,7.84
438,39.939,-84.001,60.79327209,8.686771589,OH,9.33
439,44.265,-85.299,56.53336513,7.025708374,MI,8.46
440,38.003,-97.588,44.51797386,6.337432343,KS,8.26
441,40.311,-86.251,54.21981138,7.198675006,IN,8.95
442,44.548,-95.14,51.65179365,7.310207291,MN,9.3
443,45.809,-97.642,55.13139183,8.608569832,SD,8.67
444,42.446,-85.914,57.97381692,7.33915432,MI,8.46
445,44.387,-73.241,66.61581844,9.991380929,VT,12.6
446,40.942,-77.769,82.22316619,11.61951419,PA,10.2
447,38.429,-91.58,59.37679154,7.984494908,MO,7.84
448,39.12,-78.282,65.63883008,10.2656002,VA,9.92
449,38.62,-80.697,66.64055826,10.16362263,WV,8.27
450,38.493,-97.46,43.83482613,6.211864695,KS,8.26
451,39.311,-79.815,67.8187212,10.70584627,WV,8.27
452,39.573,-86.934,59.35680783,7.977308623,IN,8.95
453,46.208,-96.225,53.14108799,7.69291391,MN,9.3
454,43.684,-88.609,54.2861029,6.460525416,WI,8.64
455,40.58,-89.113,52.91633826,6.733508491,IL,9.96
456,45.189,-92.324,55.60638939,7.253704307,WI,8.64
457,43.144,-84.737,55.55312006,7.379166817,MI,8.46
